0	1	2	3	4	5	6	8	9	10	11	12	13	14	16	17	18	19	20	21
22	0	0.10000000149012	0.25	0.5	0.75	0.89999997615814	1	0	0.10000000149012	0.25	0.5	0.75	0.89999997615814	1	1	2	4	7	0
1	2	3	4	5	7	8	9	10	13	11	5	0	1	2	3	4	-1	0	1
2	-1	82	78	63	67	66	62	33	0	1	2	3	4	5	8	11	16	18	20
21	22	2	3	4	5	0	1	2	3	0	1	2	3	4	5	6	7	8	9
10	11	0	1	2	5	6	7	8	9	10	11	12	13	14	15	16	21	22	23
24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
44	45	46	47	48	49	50	51	52	53	54	55	56	57	-100	59	-1	0	1	2
3	4	5	6	0	1	2	0	1	2	3	4	5	-1	0	1	2	0	1	2
3	4	5	6	7	8	9	10	11	5	7	0	1	8	9	3	6	4	0	1
2	3	4	5	0	1	2	3	4	5	6	7	8	9	10	0	1	2	3	4
5	0	1	2	-100	-100	3	4	0	1	2	4	5	0	1	2	0	1	2	4
16	32	64	18	55	0	2	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
32768	65536	131072	262144	524288	1048576	0	1	2	4	8	16	32	64	128	256	512	1024	2048	4096
8192	16384	32768	65536	131072	262144	524288	1048576	2097152	4194304	8388608	16777216	33554432	67108864	134217728	268435456	536870912	1073741824	-2147483648	300
1500	1501	1502	1503	1504	1505	1506	1507	1508	1509	1510	1511	1512	1513	1514	1515	1516	1517	1518	1519
1520	1521	1522	1523	1524	1525	1526	1527	1528	1529	1530	1531	1532	1533	1534	1535	1536
